2025-05-20 19:37:31,436 - SECURITY | Type: STARTUP | Severity: INFO | Details: API Server started, version=3.0.0
2025-05-20 19:37:31,436 - SECURITY | Type: STARTUP | Severity: INFO | Details: API Server started, version=3.0.0
2025-05-20 19:38:20,023 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:38:20,023 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:38:20,227 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_4487 registered
2025-05-20 19:38:20,227 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_4487 registered
2025-05-20 19:38:20,429 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_4487 logged in
2025-05-20 19:38:20,429 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_4487 logged in
2025-05-20 19:40:24,911 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:40:24,911 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:40:25,108 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_9371 registered
2025-05-20 19:40:25,108 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_9371 registered
2025-05-20 19:40:25,304 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_9371 logged in
2025-05-20 19:40:25,304 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_9371 logged in
2025-05-20 19:40:59,662 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:40:59,662 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:40:59,861 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_9043 registered
2025-05-20 19:40:59,861 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_9043 registered
2025-05-20 19:41:00,060 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_9043 logged in
2025-05-20 19:41:00,060 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_9043 logged in
2025-05-20 19:41:00,265 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_9043 logged in
2025-05-20 19:41:00,265 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_9043 logged in
2025-05-20 19:41:34,338 - SECURITY | Type: SHUTDOWN | Severity: INFO | Details: API Server stopped, uptime=243.31s
2025-05-20 19:41:34,338 - SECURITY | Type: SHUTDOWN | Severity: INFO | Details: API Server stopped, uptime=243.31s
2025-05-20 19:42:25,781 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
